date,state,pledges
2022-08-03,Johor,7
2022-08-04,Johor,5
2022-08-05,Johor,13
2022-08-06,Johor,3
2022-08-07,Johor,5
2022-08-08,Johor,5
2022-08-09,Johor,12
2022-08-10,Johor,2
2022-08-11,Johor,3
2022-08-12,Johor,5
2022-08-13,Johor,1
2022-08-14,Johor,18
2022-08-15,Johor,28
2022-08-16,Johor,12
2022-08-17,Johor,9
2022-08-18,Johor,3
2022-08-19,Johor,2
2022-08-20,Johor,2
2022-08-21,Johor,3
2022-08-22,Johor,1
2022-08-23,Johor,3
2022-08-24,Johor,5
2022-08-25,Johor,1
2022-08-26,Johor,5
2022-08-27,Johor,2
2022-08-28,Johor,1
2022-08-29,Johor,5
2022-08-30,Johor,3
2022-08-31,Johor,43
2022-09-01,Johor,5
2022-09-02,Johor,11
2022-09-03,Johor,4
2022-09-04,Johor,6
2022-09-05,Johor,1
2022-09-06,Johor,14
2022-09-07,Johor,79
2022-09-08,Johor,75
2022-09-09,Johor,59
2022-09-10,Johor,388
2022-09-11,Johor,29
2022-09-12,Johor,33
2022-09-13,Johor,62
2022-09-14,Johor,96
2022-09-15,Johor,87
2022-09-16,Johor,65
2022-09-17,Johor,38
2022-09-18,Johor,36
2022-09-19,Johor,32
2022-09-20,Johor,30
2022-09-21,Johor,33
2022-09-22,Johor,35
2022-09-23,Johor,36
2022-09-24,Johor,17
2022-09-25,Johor,21
2022-09-26,Johor,16
2022-09-27,Johor,23
2022-09-28,Johor,21
2022-09-29,Johor,17
2022-09-30,Johor,43
2022-10-01,Johor,104
2022-10-02,Johor,72
2022-10-03,Johor,179
2022-10-04,Johor,151
2022-10-05,Johor,125
2022-10-06,Johor,91
2022-10-07,Johor,56
2022-10-08,Johor,64
2022-10-09,Johor,61
2022-10-10,Johor,35
2022-10-11,Johor,46
2022-10-12,Johor,32
2022-10-13,Johor,29
2022-10-14,Johor,34
2022-10-15,Johor,27
2022-10-16,Johor,26
2022-10-17,Johor,28
2022-10-18,Johor,40
2022-10-19,Johor,22
2022-10-20,Johor,36
2022-10-21,Johor,14
2022-10-22,Johor,27
2022-10-23,Johor,13
2022-10-24,Johor,18
2022-10-25,Johor,16
2022-10-26,Johor,19
2022-10-27,Johor,14
2022-10-28,Johor,24
2022-10-29,Johor,15
2022-10-30,Johor,21
2022-10-31,Johor,28
2022-11-01,Johor,19
2022-11-02,Johor,45
2022-11-03,Johor,48
2022-11-04,Johor,38
2022-11-05,Johor,28
2022-11-06,Johor,30
2022-11-07,Johor,30
2022-11-08,Johor,20
2022-11-09,Johor,22
2022-11-10,Johor,32
2022-11-11,Johor,18
2022-11-12,Johor,15
2022-11-13,Johor,20
2022-11-14,Johor,18
2022-11-15,Johor,20
2022-11-16,Johor,24
2022-11-17,Johor,16
2022-11-18,Johor,21
2022-11-19,Johor,24
2022-11-20,Johor,22
2022-11-21,Johor,12
2022-11-22,Johor,26
2022-11-23,Johor,24
2022-11-24,Johor,13
2022-11-25,Johor,27
2022-11-26,Johor,20
2022-11-27,Johor,19
2022-11-28,Johor,16
2022-11-29,Johor,14
2022-11-30,Johor,22
2022-12-01,Johor,8
2022-12-02,Johor,6
2022-12-03,Johor,20
2022-12-04,Johor,13
2022-12-05,Johor,8
2022-12-06,Johor,12
2022-12-07,Johor,10
2022-12-08,Johor,18
2022-12-09,Johor,7
2022-12-10,Johor,15
2022-12-11,Johor,17
2022-12-12,Johor,19
2022-12-13,Johor,19
2022-12-14,Johor,10
2022-12-15,Johor,4
2022-12-16,Johor,18
2022-12-17,Johor,15
2022-12-18,Johor,11
2022-12-19,Johor,10
2022-12-20,Johor,14
2022-12-21,Johor,9
2022-12-22,Johor,9
2022-12-23,Johor,9
2022-12-24,Johor,8
2022-12-25,Johor,11
2022-12-26,Johor,7
2022-12-27,Johor,15
2022-12-28,Johor,27
2022-12-29,Johor,29
2022-12-30,Johor,25
2022-12-31,Johor,13
2023-01-01,Johor,15
2023-01-02,Johor,31
2023-01-03,Johor,27
2023-01-04,Johor,21
2023-01-05,Johor,36
2023-01-06,Johor,32
2023-01-07,Johor,25
2023-01-08,Johor,26
2023-01-09,Johor,25
2023-01-10,Johor,19
2023-01-11,Johor,20
2023-01-12,Johor,13
2023-01-13,Johor,11
2023-01-14,Johor,13
2023-01-15,Johor,11
2023-01-16,Johor,12
2023-01-17,Johor,29
2023-01-18,Johor,12
2023-01-19,Johor,10
2023-01-20,Johor,10
2023-01-21,Johor,13
2023-01-22,Johor,10
2023-01-23,Johor,3
2023-01-24,Johor,11
2023-01-25,Johor,10
2023-01-26,Johor,7
2023-01-27,Johor,3
2023-01-28,Johor,12
2023-01-29,Johor,21
2023-01-30,Johor,7
2023-01-31,Johor,14
2023-02-01,Johor,15
2023-02-02,Johor,8
2023-02-03,Johor,13
2023-02-04,Johor,5
2023-02-05,Johor,6
2023-02-06,Johor,7
2023-02-07,Johor,5
2023-02-08,Johor,6
2023-02-09,Johor,6
2023-02-10,Johor,8
2023-02-11,Johor,8
2023-02-12,Johor,12
2023-02-13,Johor,7
2023-02-14,Johor,7
2023-02-15,Johor,16
2023-02-16,Johor,21
2023-02-17,Johor,5
2023-02-18,Johor,7
2023-02-19,Johor,9
2023-02-20,Johor,7
2023-02-21,Johor,6
2023-02-22,Johor,4
2023-02-23,Johor,15
2023-02-24,Johor,4
2023-02-25,Johor,11
2023-02-26,Johor,4
2023-02-27,Johor,15
2023-02-28,Johor,8
2023-03-01,Johor,11
2023-03-02,Johor,8
2023-03-03,Johor,7
2023-03-04,Johor,9
2023-03-05,Johor,8
2023-03-06,Johor,10
2023-03-07,Johor,9
2023-03-08,Johor,7
2023-03-09,Johor,9
2023-03-10,Johor,12
2023-03-11,Johor,11
2023-03-12,Johor,7
2023-03-13,Johor,8
2023-03-14,Johor,38
2023-03-15,Johor,7
2023-03-16,Johor,9
2023-03-17,Johor,8
2023-03-18,Johor,10
2023-03-19,Johor,12
2023-03-20,Johor,9
2023-03-21,Johor,14
2023-03-22,Johor,8
2023-03-23,Johor,10
2023-03-24,Johor,19
2023-03-25,Johor,8
2023-03-26,Johor,17
2023-03-27,Johor,8
2023-03-28,Johor,12
2023-03-29,Johor,6
2023-03-30,Johor,6
2023-03-31,Johor,6
2023-04-01,Johor,10
2023-04-02,Johor,29
2023-04-03,Johor,17
2023-04-04,Johor,39
2023-04-05,Johor,16
2023-04-06,Johor,12
2023-04-07,Johor,11
2023-04-08,Johor,14
2023-04-09,Johor,27
2023-04-10,Johor,7
2023-04-11,Johor,5
2023-04-12,Johor,8
2023-04-13,Johor,34
2023-04-14,Johor,32
2023-04-15,Johor,27
2023-04-16,Johor,25
2023-04-17,Johor,23
2023-04-18,Johor,12
2023-04-19,Johor,10
2023-04-20,Johor,7
2023-04-21,Johor,10
2023-04-22,Johor,1
2023-04-23,Johor,7
2023-04-24,Johor,7
2023-04-25,Johor,54
2023-04-26,Johor,27
2023-04-27,Johor,16
2023-04-28,Johor,9
2023-04-29,Johor,8
2023-04-30,Johor,15
2023-05-01,Johor,16
2023-05-02,Johor,9
2023-05-03,Johor,13
2023-05-04,Johor,16
2023-05-05,Johor,17
2023-05-06,Johor,14
2023-05-07,Johor,7
2023-05-08,Johor,12
2023-05-09,Johor,8
2023-05-10,Johor,10
2023-05-11,Johor,10
2023-05-12,Johor,9
2023-05-13,Johor,4
2023-05-14,Johor,26
2023-05-15,Johor,17
2023-05-16,Johor,9
2023-05-17,Johor,3
2023-05-18,Johor,4
2023-05-19,Johor,15
2023-05-20,Johor,14
2023-05-21,Johor,18
2023-05-22,Johor,6
2023-05-23,Johor,19
2023-05-24,Johor,6
2023-05-25,Johor,9
2023-05-26,Johor,5
2023-05-27,Johor,8
2023-05-28,Johor,10
2023-05-29,Johor,4
2023-05-30,Johor,14
2023-05-31,Johor,7
